"Features","Feature_Importance_Score","Test_Statistics","P.Value","Rank","LB","UB","beta1"
"X4",3.92527826172135,13.0504952228569,1.04398450069956e-34,5.7,3.33522711658357,4.51532940685912,3
"X5",3.95839885464179,12.9829658315824,2.87945278083222e-36,6.1,3.36065660539624,4.55614110388733,3
"X6",8.55248256306248,14.1960948925798,1.03733880551625e-37,3.7,7.36862265171397,9.73634247441098,3
"X7",15.4333622973756,15.056319494816,1.21895937085169e-47,2,13.4235443864914,17.4431802082598,3
"X8",24.2844749657196,15.2963090710133,4.62498394528725e-44,1,21.1667763113412,27.402173620098,3
"X9",0.00138340718568056,0.36191096210967,0.723254855671479,15,-0.00423610200451397,0.0070029163758751,3
"X1",15.8294473559573,14.8824508770233,5.61196742775382e-43,2.3,13.7309441216323,17.9279505902823,4
"X10",0.00112461540157383,0.26623351386683,0.799470240777746,15.6,-0.00295511401480019,0.00520434481794784,4
"X11",0.00175606454864601,0.340764857475883,0.748109108582395,15.5,-0.00351613609827663,0.00702826519556865,4
"X12",0.00167067790888128,0.320208359190679,0.772072528266102,16,-0.0029795578967164,0.00632091371447896,4
"X13",0.00349010004202714,0.587601952603457,0.582757605098431,12.8,-0.00498773785365569,0.01196793793771,4
"X14",0.00314139386418301,0.522989802093599,0.620314648017371,13.5,-0.00523961481310795,0.011522402541474,4
"X15",0.00343093236652927,0.602502811278369,0.563703822943399,12,-0.00559814867025865,0.0124600134033172,4
"X16",0.0011442273167929,0.318670385960839,0.756485445816494,15.5,-0.00361408194661254,0.00590253658019834,4
"X17",0.00266480410465746,0.491175636273026,0.638868918288632,13.7,-0.00520512550834337,0.0105347337176583,4
"X18",0.0012428890620434,0.286510118620345,0.782954220463334,16,-0.00337206823296963,0.00585784635705642,4
"X19",0.0010949580111276,0.316545330062334,0.755778010870007,14.9,-0.00395432238718538,0.00614423840944058,4
"X2",2.09814440542231,11.2525494203242,1.0513995678856e-25,8,1.73164853584478,2.46464027499984,4
"X20",0.00257197382842191,0.482422330987363,0.646027800236922,13.5,-0.00461624589224501,0.00976019354908884,4
"X3",3.80475811299471,12.8626229396887,6.45600337657598e-30,6.2,3.22374078454436,4.38577544144506,4
"X4",3.92527826172135,13.0504952228569,1.04398450069947e-34,5.7,3.33522711658357,4.51532940685912,4
"X5",3.95839885464179,12.9829658315824,2.8794527808322e-36,6.1,3.36065660539624,4.55614110388733,4
