"Features","test.statistics","p.val","rejection","R","beta1"
"X12",-0.531427187064458,0.622703635417916,0.1,-0.0226619217762987,7
"X13",0.691692786226425,0.345200261824901,0.2,0.0289988770082028,7
"X14",0.809516733205141,0.382092441229875,0.2,0.03684261157687,7
"X15",-0.400520133529797,0.299799321670327,0.2,-0.0166103942031841,7
"X16",0.35497510838154,0.564550593247642,0,0.0155987537630959,7
"X17",0.12524899692051,0.403411656725813,0.1,0.006372807418795,7
"X18",0.05800873995983,0.618721343257468,0,0.00282407589737307,7
"X19",-0.0639467281420177,0.55425397790674,0,-0.00220240676589496,7
"X2",14.0996236648534,8.85670824042873e-38,1,1.41019756505672,7
"X20",0.0878038503942351,0.425653544823703,0,0.00475649936780357,7
"X3",14.9221462123884,7.16877089902909e-42,1,1.90956698311592,7
"X4",15.1121931465018,3.3014370409417e-48,1,1.95080887145718,7
"X5",15.0448078474406,3.34044927742519e-46,1,1.97075090539178,7
"X6",15.435859167239,1.74971879398113e-46,1,2.83335871939665,7
"X7",15.8045567158016,1.65325646459768e-52,1,3.8792714479276,7
"X8",15.706579044738,1.29740476215911e-47,1,4.85090808827853,7
"X9",0.012434978219066,0.506338377017839,0,0.000528896203177246,7
"X1",15.6846059377317,6.0796856976317e-47,1,7.87556097022621,8
"X10",-0.253825974212317,0.649908281706483,0,-0.0112075625045985,8
"X11",-0.571874529739731,0.581112108860899,0,-0.0247057366060847,8
"X12",-0.531427187064458,0.622703635417916,0.1,-0.0226619217762987,8
"X13",0.691692786226426,0.3452002618249,0.2,0.0289988770082029,8
"X14",0.809516733205142,0.382092441229874,0.2,0.0368426115768701,8
"X15",-0.400520133529798,0.299799321670327,0.2,-0.0166103942031841,8
"X16",0.354975108381539,0.564550593247643,0,0.0155987537630959,8
"X17",0.125248996920511,0.403411656725813,0.1,0.00637280741879504,8
"X18",0.0580087399598316,0.618721343257469,0,0.00282407589737313,8
"X19",-0.0639467281420185,0.554253977906739,0,-0.002202406765895,8
"X2",14.0996236648534,8.85670824042893e-38,1,1.41019756505672,8
"X20",0.087803850394236,0.425653544823702,0,0.00475649936780359,8
"X3",14.9221462123884,7.16877089902927e-42,1,1.90956698311592,8
"X4",15.1121931465018,3.3014370409418e-48,1,1.95080887145718,8
"X5",15.0448078474406,3.34044927742519e-46,1,1.97075090539178,8
"X6",15.435859167239,1.74971879398108e-46,1,2.83335871939665,8
"X7",15.8045567158016,1.65325646459768e-52,1,3.8792714479276,8
"X8",15.706579044738,1.29740476215914e-47,1,4.85090808827853,8
"X9",0.0124349782190656,0.506338377017839,0,0.000528896203177229,8
"X1",15.695190811906,5.1653075591549e-47,1,8.85840618732109,9
"X10",-0.253825974212317,0.649908281706482,0,-0.0112075625045985,9
"X11",-0.571874529739732,0.581112108860899,0,-0.0247057366060847,9
"X12",-0.531427187064459,0.622703635417916,0.1,-0.0226619217762987,9
"X13",0.691692786226424,0.345200261824901,0.2,0.0289988770082028,9
"X14",0.809516733205142,0.382092441229874,0.2,0.0368426115768701,9
"X15",-0.400520133529795,0.299799321670328,0.2,-0.016610394203184,9
"X16",0.35497510838154,0.564550593247642,0,0.0155987537630959,9
"X17",0.12524899692051,0.403411656725814,0.1,0.00637280741879501,9
"X18",0.0580087399598314,0.618721343257469,0,0.00282407589737314,9
"X19",-0.0639467281420178,0.55425397790674,0,-0.00220240676589497,9
"X2",14.0996236648534,8.85670824042852e-38,1,1.41019756505672,9
"X20",0.0878038503942355,0.425653544823703,0,0.00475649936780356,9
"X3",14.9221462123884,7.16877089902927e-42,1,1.90956698311592,9
"X4",15.1121931465018,3.3014370409416e-48,1,1.95080887145718,9
"X5",15.0448078474406,3.34044927742494e-46,1,1.97075090539178,9
"X6",15.4358591672391,1.74971879398109e-46,1,2.83335871939665,9
"X7",15.8045567158016,1.65325646459767e-52,1,3.8792714479276,9
"X8",15.706579044738,1.29740476215914e-47,1,4.85090808827853,9
"X9",0.0124349782190649,0.506338377017839,0,0.00052889620317721,9
